id	Nombre y apellido	Telefono	Posición	id_Area	Estado	Fecha de ingreso	Fecha nacimiento
1	Juan Pérez	1123456789	Operario	1	Activo	2019-03-15	1987-06-12
2	María González	1165432109	Técnica	2	Activo	2020-07-01	1991-04-23
3	Lucas Fernández	1132123456	Analista	3	Activo	2021-01-10	1995-09-18
4	Carla Rodríguez	1145678910	Administrativa	5	Activo	2018-11-05	1989-11-02
5	Martín Sosa	1176543210	Operario	4	Activo	2022-02-20	1994-01-30
6	Florencia Castro	1198765432	Ingeniera	7	Activo	2017-06-12	1985-07-19
7	Santiago López	1123987654	Jefe de área	1	Activo	2015-08-01	1982-03-11
8	Jazmín Romero	1154321890	Recepcionista	8	Activo	2023-04-01	2000-05-07
9	Nicolás Herrera	1167894321	Técnico	2	Activo	2020-10-22	1992-08-14
10	Valeria Núñez	1134765890	Contadora	5	Activo	2016-09-12	1988-12-05
11	Pablo Ruiz	1143217654	Chofer	4	Activo	2021-12-03	1990-06-25
12	Antonella Benítez	1176549870	Especialista	3	Activo	2019-01-14	1993-02-28
13	Julián Medina	1134567890	Encargado	6	Activo	2018-05-22	1986-10-10
14	Camila Torres	1123897654	HR Generalist	8	Activo	2022-08-08	1997-03-03
