operacion,entidad_afectada,fecha
"Registrar Licencia","Juan Perez","2025-03-15"
"Eliminar Empleado","Maria Gonzalez","2025-03-16"
"Editar Area","Staff","2025-03-17"
"Registrar Empleado","Carla Rodriguez","2025-03-18"
"Registrar Usuario","Martin Sosa","2025-03-19"
"Eliminar Usuario","Florencia Castro","2025-03-20"
"Editar Empleado","Santiago Lopez","2025-03-21"
"Registrar Area","Ventas y Atencion al Cliente","2025-03-22"
"Editar Area","Staff","2025-03-23"
"Editar Usuario","Valeria Nunez","2025-03-24"
"Registrar Licencia","Pablo Ruiz","2025-03-25"
"Eliminar Empleado","Antonella Benitez","2025-03-26"
"Editar Area","Direccion General","2025-03-27"
"Registrar Empleado","Camila Torres","2025-03-28"
"Registrar Usuario","Sofia Lopez","2025-03-29"
"Eliminar Usuario","Lucas Fernandez","2025-03-30"
"Editar Empleado","Maria Gonzalez","2025-03-31"
"Registrar Area","Staff","2025-04-01"
"Eliminar Area","Staff","2025-04-02"
"Editar Usuario","Martin Sosa","2025-04-03"
