id,username,password,dni,nivel_acceso,email,estado
0,juanp,juanp,40123456,admin,juanp@empresa.com,Activo
1,maria.g,mg2024,38987456,user,maria.g@empresa.com,Activo
2,lucasf,lfpass,42111444,admin,lucasf@empresa.com,Activo
3,c.rodriguez,cro2025,40998877,user,c.rodriguez@empresa.com,Activo
4,martins,mssecure,37123987,admin,martins@empresa.com,Activo
5,florcastro,florc99,43111822,user,florcastro@empresa.com,Activo
6,slopez,slpass01,39100234,guest,slopez@empresa.com,Activo
7,jazminr,jrpass23,45122119,user,jazminr@empresa.com,Activo
8,nicolas.h,nh4567,36123455,user,nicolas.h@empresa.com,Activo
9,valenunez,vnpass77,38122345,guest,valenunez@empresa.com,Activo
10,pablor,prpass33,40123345,user,pablor@empresa.com,Activo
11,antonella.b,abpass22,42110999,user,antonella.b@empresa.com,Activo
12,julianm,jmsecure,37111777,admin,julianm@empresa.com,Activo
13,cami.t,ctpass44,45122000,guest,cami.t@empresa.com,Activo
14,sofia.l,slkey55,38122999,user,sofia.l@empresa.com,Activo
